Round: 1, Step 0
G_mean: 0.6100: 0.2588,9.202,1.4523,298,443,31,2,31,0.9324,0.0442
G_mean: 0.0000: 0.1173,9.493,11.9986,224,550,55,7,56,0.4678,0.0338
G_mean: 0.9275: 0.8274,9.403,18.8887,83,655,9,5,69,0.3185,0.022
G_mean: 0.6971: 0.7815,2.8968,9.185,233,719,69,2,73,0.348,0.0343
G_mean: 0.8071: 0.4118,7.0626,19.9851,48,680,99,7,45,0.4493,0.0714
G_mean: 0.0000: 0.4884,7.2422,14.5007,265,620,95,4,64,0.094,0.0917
G_mean: 0.3465: 0.9071,7.914,15.1939,23,147,4,4,76,0.1685,0.0048
G_mean: 0.0000: 0.6309,6.7698,16.9207,209,770,79,9,39,0.0686,0.0789
G_mean: 0.9820: 0.5286,8.399,2.6159,14,836,74,4,79,0.357,0.0395
G_mean: 0.2026: 0.6154,7.9856,11.9818,197,248,15,8,35,0.9536,0.0964
G_mean: 0.8987: 0.5584,8.353,9.7452,108,772,32,3,11,0.0674,0.0705
G_mean: 0.9306: 0.1691,8.103,12.2363,23,628,27,6,92,0.4624,0.0718
G_mean: 0.6504: 0.5558,6.2094,1.4872,60,370,44,7,17,0.8196,0.069
G_mean: 0.8678: 0.8218,2.9359,2.6103,254,748,92,1,67,0.7601,0.077
G_mean: 0.8119: 0.7247,4.6502,2.6102,199,378,22,6,90,0.4947,0.0317
G_mean: 0.5400: 0.2852,2.7868,19.7496,65,89,89,8,26,0.023,0.0776
G_mean: 0.0000: 0.4329,8.5133,10.3396,69,794,65,7,91,0.9996,0.0318
G_mean: 0.0000: 0.0426,9.0079,16.5472,91,894,26,9,42,0.5419,0.0011
G_mean: 0.7424: 0.9339,7.0127,8.2052,161,417,91,6,86,0.1079,0.0316
G_mean: 0.1128: 0.386,6.5922,6.8132,167,760,78,3,49,0.0285,0.0846
G_mean: 0.8462: 0.8114,2.4888,7.3742,171,428,37,7,6,0.6158,0.0865
G_mean: 0.5477: 0.5986,5.0227,7.6837,49,293,66,9,19,0.9766,0.0432
G_mean: 0.3542: 0.3485,1.8666,18.1846,166,532,94,10,40,0.6877,0.0267
G_mean: 0.0000: 0.6039,1.9983,17.5771,255,744,20,4,72,0.0814,0.0731
G_mean: 0.2025: 0.9627,1.7068,16.6848,223,511,99,4,34,0.0625,0.0278
G_mean: 0.6633: 0.436,9.2096,4.179,277,478,2,8,42,0.4465,0.0151
G_mean: 0.5618: 0.9539,5.512,13.4831,90,560,65,3,7,0.7056,0.023
G_mean: 0.1321: 0.2086,5.3171,16.1637,148,851,57,4,86,0.2526,0.0824
G_mean: 0.5860: 0.9904,3.4638,3.1046,75,102,86,7,8,0.3174,0.0612
G_mean: 0.6122: 0.6056,6.3929,16.2274,75,254,21,8,25,0.1029,0.083
G_mean: 0.0000: 0.5747,7.6006,4.8428,213,634,75,8,47,0.3619,0.0908
G_mean: 0.0000: 0.4754,9.5376,12.6019,243,790,56,3,98,0.6025,0.0811
G_mean: 0.0000: 0.6348,7.2213,2.9564,113,249,86,5,90,0.9965,0.0942
G_mean: 0.0000: 0.5737,2.9383,15.6411,254,94,17,4,22,0.2766,0.0611
G_mean: 0.0000: 0.7403,8.699,9.3941,241,328,92,10,36,0.7352,0.0455
G_mean: 0.8388: 0.486,7.4645,16.0375,228,524,27,6,83,0.5104,0.027
G_mean: 0.6114: 0.884,6.4988,9.333,224,722,22,2,59,0.1384,0.0938
G_mean: 0.8587: 0.2933,7.0398,10.2591,134,588,52,6,33,0.3437,0.0439
G_mean: 0.6111: 0.3413,7.1772,17.5943,50,182,49,7,51,0.5278,0.0123
G_mean: 0.0000: 0.1611,7.5054,13.5998,252,874,38,8,40,0.4296,0.065
G_mean: 0.9187: 0.9469,9.2473,16.0036,99,942,35,2,22,0.2412,0.0907
G_mean: 0.7412: 0.4491,1.9674,5.3742,64,668,64,3,6,0.4338,0.0216
G_mean: 0.0000: 0.6043,1.2942,17.7615,240,396,47,1,20,0.908,0.0293
G_mean: 0.0000: 0.1831,9.1523,2.9021,226,685,52,4,22,0.6541,0.0978
G_mean: 0.5959: 0.1884,9.3237,14.8871,240,446,15,1,24,0.8844,0.0974
G_mean: 0.6661: 0.5074,7.0828,18.5535,100,914,44,3,55,0.0659,0.0698
G_mean: 0.3694: 0.841,4.7711,14.4882,246,774,41,4,2,0.5064,0.0318
G_mean: 0.8864: 0.4014,2.5489,9.6761,232,827,60,3,32,0.3568,0.0236
G_mean: 0.0000: 0.3728,9.8406,16.7277,298,721,91,2,31,0.9324,0.0442
G_mean: 0.3997: 0.6873,5.3088,17.3076,200,917,84,3,38,0.8321,0.0707
G_mean: 0.0000: 0.7254,8.5842,10.9294,245,664,67,8,52,0.9595,0.0627
G_mean: 0.0000: 0.3764,9.493,11.9986,224,550,55,7,56,0.4678,0.0338
G_mean: 0.6190: 0.0465,2.0686,18.8887,233,655,9,5,69,0.3185,0.022
G_mean: 0.0000: 0.7815,2.8968,6.2859,233,719,17,5,73,0.348,0.0184
G_mean: 0.8462: 0.4118,7.0626,19.9851,48,680,77,7,45,0.4493,0.0714
G_mean: 0.0000: 0.3685,7.2422,3.0197,265,620,95,4,64,0.52,0.0917
G_mean: 0.5536: 0.9071,3.0031,5.1234,23,147,4,4,76,0.2396,0.0863
G_mean: 0.0000: 0.6309,6.7698,16.9207,209,770,79,9,16,0.0686,0.0789
G_mean: 0.0000: 0.8987,8.399,2.6159,243,836,36,4,43,0.357,0.0552
G_mean: 0.0000: 0.6154,4.4497,11.9818,232,248,15,8,58,0.6852,0.0964
G_mean: 0.5727: 0.5584,8.353,19.3522,33,265,21,3,11,0.0674,0.0705
G_mean: 0.9217: 0.7778,4.4954,7.3273,23,628,27,6,92,0.0477,0.0718
G_mean: 0.5937: 0.5558,7.4784,14.6346,60,370,44,7,17,0.8196,0.069
G_mean: 0.9116: 0.2962,8.7201,2.6103,222,748,89,2,67,0.7601,0.0301
G_mean: 0.1684: 0.7247,4.6502,2.6102,199,81,22,6,90,0.4947,0.0317
G_mean: 0.9788: 0.419,2.7868,7.9744,65,771,89,8,26,0.023,0.0776
G_mean: 0.0000: 0.4329,9.5199,10.3396,67,794,65,7,98,0.9996,0.0218
G_mean: 0.7828: 0.4313,7.123,16.5472,91,894,26,9,42,0.5419,0.0011
G_mean: 0.0000: 0.9339,3.3513,8.2052,161,705,91,8,7,0.1079,0.0316
G_mean: 0.5812: 0.386,6.5922,12.5178,167,721,78,1,49,0.0285,0.0846
G_mean: 0.6072: 0.8114,2.4888,9.7406,168,428,37,5,6,0.6868,0.0865
G_mean: 0.0000: 0.5986,2.9596,7.6837,49,370,66,9,19,0.9766,0.0432
G_mean: 0.5749: 0.6039,8.5136,17.1927,255,339,20,4,72,0.2612,0.0731
G_mean: 0.9118: 0.9627,2.1593,16.6848,72,511,99,6,24,0.0625,0.0278
G_mean: 0.1053: 0.436,9.2096,4.179,212,478,2,8,42,0.4465,0.0545
G_mean: 0.3545: 0.9539,5.512,13.4831,90,652,65,3,7,0.7056,0.023
G_mean: 0.9765: 0.2086,5.3171,16.1637,59,851,57,4,97,0.2526,0.0824
G_mean: 0.5727: 0.9904,3.4638,3.1046,75,102,86,9,8,0.378,0.0612
G_mean: 0.7323: 0.6056,4.6514,16.2274,75,254,24,3,25,0.1029,0.083
G_mean: 0.0000: 0.5747,7.6006,4.8428,141,634,49,8,47,0.3619,0.0908
G_mean: 0.0000: 0.4754,9.5376,12.2458,243,790,56,3,98,0.3792,0.0811
G_mean: 0.0000: 0.6348,5.8379,2.9564,241,417,86,4,90,0.9965,0.0942
G_mean: 0.0415: 0.6058,8.845,15.6411,254,94,69,4,22,0.2766,0.0075
G_mean: 0.5536: 0.1379,6.0118,5.1112,241,328,92,2,36,0.7352,0.0455
G_mean: 0.1957: 0.486,4.8592,16.0375,200,484,76,6,11,0.5104,0.027
G_mean: 0.9788: 0.884,7.6104,9.333,57,722,35,2,59,0.1384,0.0368
G_mean: 0.9462: 0.4071,7.0398,10.2591,46,588,50,6,36,0.3437,0.0653
G_mean: 0.5394: 0.3413,1.2231,17.5943,148,182,49,7,55,0.5278,0.0123
G_mean: 0.0000: 0.7261,7.5054,13.5998,252,874,91,8,40,0.4296,0.065
G_mean: 0.5597: 0.9469,9.2473,16.0036,99,942,35,2,22,0.2412,0.0689
G_mean: 0.1415: 0.4491,1.9674,5.3742,64,668,86,3,6,0.7202,0.0216
G_mean: 0.5597: 0.6043,1.2942,5.1977,240,396,20,1,20,0.2114,0.0293
G_mean: 0.5642: 0.1831,9.1523,2.9021,119,135,52,4,11,0.6541,0.0709
G_mean: 0.5791: 0.1884,8.9947,14.8871,240,446,28,1,24,0.8844,0.0974
G_mean: 0.8266: 0.5074,7.2568,14.3094,100,914,44,3,55,0.0659,0.0698
G_mean: 0.9062: 0.841,4.7711,14.4882,175,774,41,4,12,0.5064,0.0318
G_mean: 0.5479: 0.4014,2.5489,9.6761,27,827,84,7,32,0.8821,0.0236
Step: 0, max G_mean: 0.9820010528326208, hyperparameter: [0.5286490099204292, 8.398968619851345, 2.615901918137289, 13.963836682410257, 835.8707591791544, 73.96211143442629, 3.558581321854839, 78.79645440578635, 0.35702163807108744, 0.03951081041857995]
Round: 1, Step 1
G_mean: 0.0000: 0.2588,9.202,17.3965,298,443,31,2,31,0.9324,0.0245
G_mean: 0.6310: 0.8274,9.403,18.8887,83,317,9,5,49,0.3311,0.022
G_mean: 0.5770: 0.0597,2.8968,9.185,175,719,27,2,48,0.348,0.0343
G_mean: 0.9851: 0.3542,8.0233,12.3707,48,794,39,7,45,0.4493,0.0714
G_mean: 0.8538: 0.7782,8.399,1.0361,205,392,74,1,79,0.357,0.0395
G_mean: 0.8586: 0.5584,8.353,9.7452,108,772,32,3,11,0.0674,0.0482
G_mean: 0.5964: 0.1691,8.103,12.2363,28,155,27,6,92,0.4624,0.0295
G_mean: 0.5893: 0.3054,8.1255,17.8218,60,370,37,7,17,0.4914,0.0328
G_mean: 0.7419: 0.2962,7.595,2.6103,222,764,46,2,57,0.2977,0.0672
G_mean: 0.0000: 0.3732,7.896,12.4848,199,378,39,6,25,0.2428,0.0317
G_mean: 0.8804: 0.419,2.7868,7.9744,65,898,89,4,26,0.023,0.0776
G_mean: 0.3041: 0.4313,7.123,7.4549,91,894,61,9,65,0.5419,0.0752
G_mean: 0.7051: 0.9339,5.9624,10.8806,161,417,91,6,86,0.1079,0.0316
