Round: 7, Step 0
G_mean: 0.0983: 0.7075,1.796,4.8551,246,260,90,5,74,0.5197,0.0629
G_mean: 0.0000: 0.5718,7.0871,17.8436,188,346,37,7,7,0.9461,0.0435
G_mean: 0.7446: 0.3954,2.9975,10.6878,17,880,86,2,16,0.8876,0.0415
G_mean: 0.9242: 0.3307,1.5282,2.151,18,692,38,5,11,0.1937,0.0155
G_mean: 0.7321: 0.4861,5.4088,8.3753,50,141,24,3,86,0.5447,0.0968
G_mean: 0.8165: 0.457,7.4694,11.4755,17,501,98,2,72,0.1208,0.001
G_mean: 0.5617: 0.1981,5.2406,5.9358,194,752,89,8,92,0.9713,0.075
G_mean: 0.7426: 0.9108,7.7605,1.0381,48,894,4,7,47,0.4248,0.061
G_mean: 0.8505: 0.6942,1.3224,4.5059,121,465,48,6,84,0.058,0.0953
G_mean: 0.7270: 0.6154,7.2024,16.5393,165,955,19,9,64,0.2639,0.0114
G_mean: 0.7251: 0.5703,5.4714,16.1111,150,338,40,10,23,0.9396,0.0937
G_mean: 0.0000: 0.2641,2.6389,3.5855,267,384,48,3,88,0.6532,0.0894
G_mean: 0.0000: 0.849,1.1243,4.6577,250,758,97,1,15,0.4119,0.0214
G_mean: 0.7022: 0.3502,8.3083,17.959,88,138,92,7,81,0.2151,0.0202
G_mean: 0.7382: 0.7906,9.0944,17.2283,177,359,46,5,35,0.1805,0.0904
G_mean: 0.7221: 0.0792,3.8429,12.0712,73,33,31,6,12,0.8252,0.0573
G_mean: 0.3776: 0.5975,5.8813,9.9901,74,675,66,3,27,0.9971,0.0931
G_mean: 0.8524: 0.3408,4.9509,5.9706,229,596,68,2,72,0.4272,0.0635
G_mean: 0.7446: 0.5797,6.5334,17.6187,57,1017,49,4,67,0.4039,0.0715
G_mean: 0.7446: 0.2097,9.3972,7.9591,278,864,38,4,57,0.9074,0.0137
G_mean: 0.9329: 0.3563,1.1426,3.4538,90,780,92,5,50,0.0493,0.0115
G_mean: 0.9397: 0.5284,4.9346,5.6387,51,811,81,8,98,0.6707,0.0104
G_mean: 0.7014: 0.2748,3.1374,16.2039,241,823,57,3,24,0.5832,0.0948
G_mean: 0.7444: 0.5237,1.229,14.7493,155,898,17,4,26,0.4075,0.0241
