Round: 2, Step 0
G_mean: 0.0000: 0.6433,8.108,13.2619,298,901,80,9,83,0.6445,0.0703
G_mean: 0.7406: 0.1153,8.0406,12.2277,209,522,45,7,87,0.7215,0.0056
G_mean: 0.7759: 0.0185,1.0327,6.2483,119,675,95,8,37,0.8328,0.0396
G_mean: 0.0620: 0.7916,6.0183,17.8241,195,725,82,7,52,0.2718,0.0561
G_mean: 0.7446: 0.0101,8.4351,19.4634,132,780,64,6,63,0.3553,0.046
G_mean: 0.7382: 0.7157,7.647,19.394,67,1021,69,8,70,0.892,0.0045
G_mean: 0.7446: 0.8083,3.5505,11.0787,73,631,86,6,11,0.8264,0.0047
G_mean: 0.8818: 0.5005,3.7501,14.7637,55,886,24,4,75,0.065,0.0813
G_mean: 0.8535: 0.4895,9.9328,4.7412,124,697,96,2,72,0.071,0.0911
G_mean: 0.7251: 0.7296,7.8476,2.8612,111,204,19,9,66,0.869,0.0789
G_mean: 0.7382: 0.8163,9.1503,18.8443,126,362,40,8,92,0.2312,0.0791
G_mean: 0.7911: 0.0775,6.9554,17.0897,18,681,24,9,16,0.2714,0.0602
G_mean: 0.0000: 0.559,3.0049,17.4945,28,816,72,2,1,0.6347,0.0054
G_mean: 0.7446: 0.9202,4.4898,16.2094,135,1005,4,9,65,0.0479,0.0388
G_mean: 0.6983: 0.9439,3.446,4.1902,250,68,80,2,17,0.2063,0.0496
G_mean: 0.0000: 0.7758,6.6266,3.0638,283,685,67,5,40,0.5356,0.0391
G_mean: 0.7446: 0.3085,7.1957,19.2598,20,900,87,2,36,0.476,0.0752
G_mean: 0.7362: 0.1928,4.3077,10.5618,25,571,73,5,83,0.825,0.0129
G_mean: 0.7761: 0.5062,1.1254,5.849,74,529,53,7,65,0.9885,0.0611
G_mean: 0.7382: 0.5021,5.6123,10.8351,229,334,29,8,47,0.0902,0.0422
G_mean: 0.7153: 0.3533,6.5076,8.6541,274,30,46,6,68,0.7393,0.0463
