Round: 0, Step 0
G_mean: 0.0000: 0.6654,1.2733,6.5836,75,942,24,4,56,0.9376,0.0693
G_mean: 0.0000: 0.9236,5.1853,10.8108,248,396,19,6,53,0.2433,0.0402
G_mean: 0.0000: 0.6975,2.9251,15.2323,242,355,31,9,27,0.004,0.0785
G_mean: 0.0000: 0.4456,3.3609,7.4796,296,869,65,7,3,0.1019,0.046
G_mean: 0.1812: 0.7615,8.3908,4.1025,164,716,85,8,66,0.0591,0.0761
G_mean: 0.0000: 0.8024,4.8462,12.0999,183,128,81,5,26,0.2441,0.0769
G_mean: 0.1621: 0.752,4.5897,16.9285,259,74,83,3,4,0.7771,0.0957
G_mean: 0.6373: 0.9905,1.0103,6.1006,162,501,20,5,44,0.5905,0.0493
G_mean: 0.5420: 0.8932,8.2339,14.0469,89,78,57,4,28,0.9749,0.0529
G_mean: 0.0000: 0.1358,7.8847,15.0301,256,370,70,9,3,0.4761,0.0499
G_mean: 0.9645: 0.2673,9.3568,11.7827,202,863,9,4,76,0.6188,0.0323
G_mean: 0.0000: 0.5,1.7314,2.3254,277,90,96,8,39,0.8967,0.0451
G_mean: 0.7748: 0.4558,8.3828,18.4715,36,843,43,1,44,0.6084,0.0813
G_mean: 0.9309: 0.9852,8.7757,5.294,86,447,30,10,79,0.3361,0.0087
G_mean: 0.5871: 0.34,6.174,7.0276,92,146,85,2,54,0.8243,0.0401
G_mean: 0.5791: 0.8463,4.6962,12.7935,114,271,40,1,66,0.5248,0.085
G_mean: 0.3909: 0.774,2.0332,19.5648,199,900,9,3,37,0.6143,0.0581
G_mean: 0.5082: 0.6888,8.4657,11.8496,227,260,55,2,61,0.6379,0.034
G_mean: 0.6162: 0.7448,4.4312,1.6093,158,662,86,2,86,0.6749,0.0921
G_mean: 0.0000: 0.7965,1.3528,3.0105,112,402,2,10,74,0.1345,0.0559
G_mean: 0.1483: 0.3506,1.5081,13.5586,179,540,16,9,26,0.744,0.0382
G_mean: 0.2420: 0.4515,3.8948,14.8638,170,304,65,7,10,0.1634,0.0574
G_mean: 0.5494: 0.0351,3.8138,11.1557,245,506,46,2,99,0.9906,0.0135
G_mean: 0.2611: 0.5577,7.355,16.6624,174,840,43,3,39,0.253,0.0827
G_mean: 0.0000: 0.9562,3.2553,7.5507,199,705,89,6,18,0.3616,0.0286
G_mean: 0.5102: 0.2267,1.7437,7.5464,96,703,80,3,3,0.6477,0.0698
G_mean: 0.0000: 0.1301,4.9526,8.4005,255,717,44,7,61,0.2608,0.0908
G_mean: 0.6077: 0.0193,7.2122,14.59,140,300,85,1,57,0.0223,0.0481
G_mean: 0.0000: 0.0607,1.5958,12.3518,285,658,95,8,47,0.9276,0.0599
G_mean: 0.6055: 0.7633,8.7497,16.4131,173,523,83,1,35,0.1001,0.0293
G_mean: 0.5122: 0.5045,6.7635,19.9684,11,780,82,4,21,0.8641,0.0983
G_mean: 0.9820: 0.8099,9.8099,1.1131,69,893,72,8,91,0.24,0.0214
G_mean: 0.0000: 0.2349,1.0776,17.3263,66,515,65,9,55,0.5074,0.0879
G_mean: 0.0000: 0.4562,8.8181,18.0153,222,625,33,5,90,0.7998,0.095
G_mean: 0.0000: 0.8955,6.2837,5.8611,249,664,49,4,60,0.6654,0.0309
G_mean: 0.0000: 0.5174,2.5177,14.6935,284,921,91,7,28,0.0419,0.0992
G_mean: 0.6263: 0.4801,6.8857,13.0707,126,934,93,2,4,0.8465,0.0883
G_mean: 0.0654: 0.3617,4.6984,6.7262,230,377,15,8,60,0.8449,0.0813
G_mean: 0.9734: 0.2977,6.5302,13.9433,63,884,25,5,45,0.1195,0.1
G_mean: 0.0876: 0.3046,7.2486,1.9443,197,532,28,3,60,0.4184,0.0726
G_mean: 0.1502: 0.3571,8.1639,4.3746,230,301,30,9,62,0.5417,0.0925
G_mean: 0.9581: 0.4082,2.3548,12.3931,162,770,31,8,61,0.5121,0.0784
G_mean: 0.1839: 0.1054,2.2534,2.1427,169,502,97,7,99,0.0191,0.0995
G_mean: 0.6537: 0.6848,5.2591,4.8524,73,417,63,9,14,0.3185,0.005
G_mean: 0.5749: 0.028,8.6999,7.9833,34,446,60,8,69,0.9683,0.0641
G_mean: 0.9124: 0.2074,2.7072,6.4477,53,484,30,3,41,0.7295,0.0952
G_mean: 0.0000: 0.6654,1.8676,1.0676,275,942,24,4,56,0.8798,0.0773
G_mean: 0.0000: 0.3702,5.1853,10.8108,248,528,19,6,53,0.2433,0.0402
G_mean: 0.0000: 0.8428,2.9251,5.2466,242,355,31,9,27,0.004,0.0785
G_mean: 0.0000: 0.4456,3.3609,7.4796,296,869,65,6,52,0.1019,0.046
G_mean: 0.0000: 0.7615,8.3908,4.1025,164,716,99,8,66,0.0591,0.0761
G_mean: 0.0000: 0.8024,6.8741,12.0999,183,842,81,5,26,0.2441,0.0794
G_mean: 0.0000: 0.6777,4.5897,16.9285,259,74,83,3,4,0.7771,0.0395
G_mean: 0.2304: 0.2808,5.3446,6.1006,252,501,20,5,93,0.5905,0.0493
G_mean: 0.4812: 0.8932,8.2339,17.9344,89,141,39,4,28,0.9749,0.0529
G_mean: 0.0773: 0.596,4.8064,7.3752,246,803,46,3,53,0.8699,0.0915
G_mean: 0.5980: 0.8543,7.0283,6.3788,265,865,35,1,30,0.2435,0.0219
G_mean: 0.9189: 0.2294,8.6064,2.0265,36,752,67,1,75,0.0522,0.0347
G_mean: 0.0000: 0.1358,7.8847,15.0301,256,370,70,9,12,0.4761,0.0733
G_mean: 0.9608: 0.2673,9.3568,11.7827,104,863,9,4,76,0.7934,0.0098
G_mean: 0.0000: 0.5,1.7314,2.3254,224,711,96,8,51,0.8967,0.0451
G_mean: 0.6891: 0.4558,4.2013,6.5674,36,237,42,7,44,0.6084,0.0813
G_mean: 0.6189: 0.2351,8.7757,5.294,86,447,30,10,79,0.8793,0.0087
G_mean: 0.5915: 0.34,6.174,7.0276,92,146,66,2,54,0.7075,0.0242
G_mean: 0.5620: 0.2816,4.6962,12.7935,114,271,81,1,6,0.5248,0.0877
G_mean: 0.8238: 0.9856,6.0385,6.369,199,900,9,3,37,0.4548,0.0581
G_mean: 0.0000: 0.8035,8.4657,11.8496,227,260,55,2,61,0.9918,0.034
G_mean: 0.0000: 0.244,4.4312,1.6093,158,662,86,2,86,0.6749,0.0551
G_mean: 0.0000: 0.7965,6.9765,3.0105,112,402,2,7,74,0.7285,0.0559
G_mean: 0.0000: 0.3506,1.5081,13.5586,179,459,16,9,26,0.744,0.0382
G_mean: 0.8000: 0.4515,5.2377,14.8638,209,304,65,7,10,0.1634,0.0338
G_mean: 0.0000: 0.0351,3.8138,11.1557,245,506,21,2,14,0.9906,0.0135
G_mean: 0.0000: 0.7812,7.355,4.5266,174,840,43,5,39,0.253,0.0827
G_mean: 0.0000: 0.9562,3.2553,7.5507,199,705,71,6,18,0.3616,0.01
G_mean: 0.3507: 0.2267,9.7247,9.4491,96,703,80,9,3,0.3841,0.0698
G_mean: 0.0000: 0.1301,4.9526,8.4005,255,637,37,7,61,0.2608,0.0908
