Round: 5, Step 0
G_mean: 0.5706: 0.1968,3.9391,7.3682,214,186,69,1,85,0.175,0.0056
G_mean: 0.0000: 0.0228,8.7165,10.9548,224,556,93,8,4,0.5663,0.0907
G_mean: 0.5167: 0.1374,6.6959,18.7833,112,137,99,10,88,0.391,0.0776
G_mean: 0.8697: 0.9895,5.4605,18.8268,174,762,64,4,34,0.1213,0.0057
G_mean: 0.9614: 0.9814,1.8411,9.1981,57,644,100,6,67,0.2096,0.079
G_mean: 0.0000: 0.5774,9.0802,8.1564,292,173,2,8,77,0.6272,0.0606
G_mean: 0.0000: 0.6445,7.302,3.1915,237,563,69,6,45,0.6549,0.0873
G_mean: 0.8259: 0.7215,1.4213,1.3518,11,268,38,7,95,0.758,0.0366
G_mean: 0.3333: 0.8328,4.5112,16.0411,172,838,64,7,82,0.6312,0.0522
G_mean: 0.0000: 0.2718,6.0132,1.1917,250,919,43,8,64,0.5068,0.0631
G_mean: 0.0000: 0.3553,5.0889,14.5988,224,915,20,10,69,0.7957,0.0702
G_mean: 0.8560: 0.892,1.3184,16.3585,92,506,23,7,86,0.6095,0.0115
G_mean: 0.9583: 0.8264,1.3337,10.5092,99,687,16,9,24,0.285,0.075
G_mean: 0.1790: 0.065,8.3003,10.3005,298,194,40,7,96,0.1522,0.0717
G_mean: 0.5420: 0.071,9.1937,14.8629,231,102,36,3,19,0.8432,0.0659
G_mean: 0.0979: 0.869,8.0807,16.51,273,888,41,4,40,0.7986,0.0923
G_mean: 0.0000: 0.2312,8.1043,2.4723,202,802,4,7,24,0.8374,0.0163
G_mean: 0.9523: 0.2714,6.3811,11.6205,75,822,7,8,72,0.087,0.0014
G_mean: 0.0000: 0.6347,1.3986,18.4829,122,758,44,10,4,0.9085,0.0652
G_mean: 0.5909: 0.0479,4.4341,18.9344,89,167,83,2,80,0.0587,0.0168
G_mean: 0.1705: 0.2063,5.4171,15.7409,191,112,94,7,67,0.4789,0.0403
G_mean: 0.0000: 0.5356,4.4664,6.8623,210,909,4,9,87,0.1313,0.0361
G_mean: 0.6258: 0.476,7.7481,4.6623,117,481,6,6,73,0.4744,0.0829
G_mean: 0.5871: 0.825,2.0775,10.6179,14,249,23,6,53,0.6873,0.0651
G_mean: 0.3764: 0.9885,6.4656,10.5398,159,494,76,4,29,0.752,0.0469
G_mean: 0.6100: 0.0902,4.7432,7.7129,187,387,91,1,46,0.5051,0.0678
G_mean: 0.0000: 0.7393,5.1143,2.1227,253,852,40,8,36,0.1654,0.0832
G_mean: 0.0000: 0.426,7.7053,2.3986,215,192,56,9,81,0.8134,0.0035
G_mean: 0.0000: 0.8598,8.3882,11.4287,150,74,60,8,40,0.8761,0.097
G_mean: 0.5236: 0.7555,2.47,18.0685,74,102,12,4,10,0.2424,0.0444
G_mean: 0.0000: 0.4766,4.0155,6.2469,78,353,87,5,42,0.1315,0.0723
G_mean: 0.3480: 0.7561,6.9858,6.8889,87,564,78,9,71,0.8386,0.0208
G_mean: 0.1066: 0.6385,7.4541,11.6038,158,732,85,3,98,0.1105,0.0359
G_mean: 0.0000: 0.9882,8.3026,5.463,238,769,73,8,77,0.8735,0.0127
G_mean: 0.0000: 0.3869,8.7138,12.5737,214,679,16,6,68,0.5319,0.0228
G_mean: 0.0000: 0.9882,6.4022,19.6821,197,639,6,4,34,0.8397,0.0038
G_mean: 0.0000: 0.5058,7.6473,12.6163,280,104,87,6,79,0.9327,0.0385
G_mean: 0.9183: 0.6475,7.1006,5.9425,106,516,20,3,86,0.8868,0.0895
G_mean: 0.2567: 0.0019,7.6196,1.1289,296,50,64,6,16,0.2098,0.0779
G_mean: 0.0000: 0.8385,9.6103,7.4766,149,374,41,5,36,0.7791,0.0071
G_mean: 0.4933: 0.0247,4.9491,17.3506,77,16,57,3,54,0.8953,0.0578
G_mean: 0.8551: 0.4186,9.0933,13.2388,141,614,40,4,77,0.7535,0.0738
G_mean: 0.9241: 0.6067,3.4944,18.098,218,861,21,8,71,0.5277,0.0337
G_mean: 0.8428: 0.721,1.3529,2.8249,102,489,44,4,96,0.2998,0.0384
G_mean: 0.7498: 0.455,6.3444,6.7613,52,177,28,5,24,0.4556,0.0172
G_mean: 0.5400: 0.0719,7.224,19.0153,90,103,84,5,67,0.7074,0.0104
G_mean: 0.2395: 0.8927,2.6399,8.3842,127,339,98,8,20,0.6225,0.0297
G_mean: 0.6055: 0.0514,8.7596,6.4024,55,249,9,2,11,0.2746,0.0504
G_mean: 0.2353: 0.5693,1.0037,18.5085,121,114,8,9,38,0.9133,0.0723
G_mean: 0.5523: 0.1968,8.7683,5.6528,214,186,69,5,85,0.1369,0.0896
G_mean: 0.8964: 0.0228,8.7165,10.9548,105,750,93,8,4,0.5663,0.0907
