Round: 0, Step 0
G_mean: 0.0090: 0.9536,7.4303,12.5913,129,792,94,6,66,0.79,0.0885
G_mean: 0.0000: 0.7193,2.9619,17.1534,273,157,95,3,14,0.1059,0.0379
G_mean: 0.0810: 0.8288,4.2696,15.6938,269,73,25,4,22,0.4024,0.0599
G_mean: 0.0000: 0.0188,8.633,9.8289,278,324,66,7,77,0.8493,0.0359
G_mean: 0.7118: 0.7944,5.8042,5.4389,104,1007,31,8,46,0.9324,0.048
G_mean: 0.7946: 0.5907,5.1648,4.3141,214,738,21,9,98,0.6616,0.0281
G_mean: 0.0000: 0.3962,9.1308,16.8825,274,820,28,5,46,0.234,0.0847
G_mean: 0.0163: 0.2043,8.5657,2.215,270,527,52,4,33,0.5842,0.0259
G_mean: 0.7382: 0.4532,6.6262,6.2004,167,426,46,2,82,0.6391,0.0676
G_mean: 0.7446: 0.8257,1.8382,11.9383,151,371,84,2,2,0.2323,0.0563
G_mean: 0.8476: 0.1759,5.7665,8.1514,27,314,93,9,43,0.6892,0.0061
G_mean: 0.7030: 0.0602,5.9645,5.4513,241,202,61,4,48,0.9519,0.0143
G_mean: 0.7382: 0.7643,3.4585,18.3343,182,517,22,7,91,0.6357,0.0666
G_mean: 0.7382: 0.3444,9.1554,8.2294,145,331,45,4,16,0.9421,0.052
G_mean: 0.7823: 0.0443,6.9,4.2724,124,566,28,3,35,0.0791,0.0488
G_mean: 0.1939: 0.4044,2.6906,11.4046,71,189,2,7,99,0.9399,0.0294
G_mean: 0.8205: 0.3787,1.0913,4.1661,59,539,100,6,23,0.5962,0.0469
G_mean: 0.2326: 0.9742,5.1465,3.9763,264,567,59,7,40,0.129,0.0525
G_mean: 0.6983: 0.8214,2.0996,18.541,23,510,71,2,81,0.9659,0.0854
G_mean: 0.7317: 0.5125,7.8039,5.6959,162,698,53,8,37,0.8563,0.0117
G_mean: 0.1488: 0.7174,3.1751,1.3178,247,555,98,6,53,0.2072,0.0816
G_mean: 0.7446: 0.2081,6.8581,1.7513,23,783,4,4,92,0.012,0.0342
G_mean: 0.7292: 0.3924,4.4176,3.8706,14,117,72,9,86,0.5806,0.0448
G_mean: 0.7446: 0.5788,1.7189,5.2081,224,667,3,6,64,0.2716,0.0524
G_mean: 0.7446: 0.1854,7.6173,1.2713,69,587,3,2,87,0.0339,0.0813
G_mean: 0.9100: 0.2381,8.8357,14.7396,108,420,72,9,88,0.0992,0.0963
G_mean: 0.0226: 0.2568,2.4456,7.0979,282,507,73,7,64,0.4704,0.0217
G_mean: 0.7911: 0.7229,6.6515,6.3055,163,709,6,5,64,0.3509,0.0864
G_mean: 0.7446: 0.9426,5.7669,16.0115,144,908,66,8,87,0.508,0.0207
G_mean: 0.5210: 0.8455,9.3765,1.8893,230,777,49,5,43,0.5735,0.0312
G_mean: 0.0000: 0.5585,7.4982,17.0049,241,84,59,2,1,0.7673,0.0054
G_mean: 0.7121: 0.189,1.2339,7.5834,299,68,24,4,72,0.5896,0.0091
G_mean: 0.0000: 0.7832,9.1053,19.15,269,477,8,10,7,0.8257,0.0761
G_mean: 0.7073: 0.0158,6.4206,2.502,17,81,61,2,50,0.4744,0.03
G_mean: 0.9530: 0.1066,3.3787,6.5192,71,826,84,7,42,0.0462,0.0301
G_mean: 0.0000: 0.446,8.6063,16.7083,260,744,13,5,40,0.3148,0.0756
G_mean: 0.7131: 0.7646,7.1796,19.8052,30,64,26,8,15,0.9971,0.0573
G_mean: 0.7130: 0.7215,9.3832,11.4576,64,100,36,10,4,0.7668,0.0513
G_mean: 0.7382: 0.3211,3.0225,18.7792,70,499,69,4,13,0.6037,0.0806
G_mean: 0.6914: 0.2179,1.7431,4.4461,238,1015,58,2,42,0.2388,0.095
G_mean: 0.0830: 0.6547,5.7213,14.3806,184,922,78,7,41,0.0211,0.0527
G_mean: 0.0000: 0.4688,8.5265,12.703,291,212,61,2,3,0.2737,0.0038
G_mean: 0.7759: 0.3464,5.4286,2.2559,180,925,15,2,60,0.2115,0.0931
G_mean: 0.5923: 0.3141,1.4062,8.3853,264,545,27,6,72,0.5785,0.0746
G_mean: 0.0000: 0.3383,7.8119,8.1382,112,950,87,5,60,0.5166,0.0625
G_mean: 0.7251: 0.9464,1.0427,19.3754,54,214,31,8,84,0.8804,0.0506
G_mean: 0.9651: 0.5758,8.1517,11.3676,32,862,88,7,70,0.4552,0.0759
G_mean: 0.4262: 0.031,4.6505,6.5984,49,319,37,9,39,0.9989,0.0891
G_mean: 0.9131: 0.8688,8.8244,2.7009,143,830,14,8,92,0.606,0.0649
G_mean: 0.0000: 0.6122,3.5638,19.7934,270,1013,94,10,66,0.5013,0.0763
G_mean: 0.0000: 0.5515,7.4303,12.5913,265,749,94,6,66,0.79,0.0885
G_mean: 0.0000: 0.7193,6.9963,17.1534,272,526,95,3,14,0.1059,0.0379
G_mean: 0.0000: 0.7715,4.2696,15.6938,269,197,25,4,22,0.4024,0.0199
G_mean: 0.2902: 0.0188,8.633,9.8289,278,367,66,7,77,0.8493,0.0923
G_mean: 0.7446: 0.7944,5.8042,5.4389,104,1007,31,8,46,0.9324,0.048
G_mean: 0.1814: 0.5907,5.1648,4.3141,214,738,21,7,98,0.0222,0.0915
G_mean: 0.3555: 0.3962,9.1308,8.16,274,619,35,5,46,0.5335,0.0847
G_mean: 0.0496: 0.2043,8.5657,14.0716,270,527,52,4,33,0.5842,0.0603
G_mean: 0.7382: 0.4532,6.6262,5.8022,115,426,46,2,57,0.6391,0.0676
G_mean: 0.6914: 0.43,1.8382,11.9383,151,735,84,4,2,0.8088,0.022
G_mean: 0.7382: 0.4269,5.7665,8.1514,27,314,56,7,43,0.6892,0.0061
G_mean: 0.8028: 0.0602,5.9645,5.4513,292,202,61,8,46,0.9519,0.0143
G_mean: 0.7479: 0.7643,3.4585,6.3264,100,517,22,7,91,0.6357,0.0666
G_mean: 0.7382: 0.3444,9.1554,8.2294,145,331,45,4,16,0.9421,0.0619
G_mean: 0.8374: 0.6099,6.9,3.7447,124,566,71,3,35,0.0791,0.0158
G_mean: 0.6964: 0.4044,2.6906,11.4046,249,189,2,4,76,0.9399,0.0294
G_mean: 0.6762: 0.1694,6.3987,4.1661,180,539,100,6,23,0.5962,0.0469
G_mean: 0.0000: 0.9742,5.1465,3.9763,239,567,59,7,99,0.7437,0.0192
G_mean: 0.6914: 0.8214,2.0996,18.541,56,315,56,2,81,0.9659,0.0854
G_mean: 0.7940: 0.5125,7.8039,5.6959,162,243,53,8,37,0.8563,0.0117
G_mean: 0.2224: 0.7174,3.1751,1.3178,247,555,35,6,61,0.2072,0.0816
G_mean: 0.8390: 0.2081,6.8581,1.7513,23,783,15,4,29,0.012,0.0342
G_mean: 0.7354: 0.3924,4.4176,3.8706,14,117,28,3,46,0.4611,0.0448
G_mean: 0.0474: 0.5788,1.7189,5.2081,224,667,44,6,64,0.2716,0.0524
G_mean: 0.7416: 0.1854,7.6173,1.2713,69,587,3,2,87,0.1723,0.0813
G_mean: 0.0000: 0.2381,8.8357,4.8835,295,420,72,5,88,0.0191,0.0963
G_mean: 0.2222: 0.2568,2.4456,7.0979,282,507,38,7,50,0.4704,0.0427
G_mean: 0.9085: 0.7229,6.6515,6.3055,83,709,44,5,64,0.3509,0.0864
G_mean: 0.0000: 0.3524,8.8527,16.0115,144,908,66,5,87,0.508,0.0823
G_mean: 0.0230: 0.8455,6.2825,1.8893,230,777,64,4,43,0.5735,0.0312
G_mean: 0.0000: 0.5585,1.1056,17.0049,241,84,59,2,1,0.872,0.08
G_mean: 0.7820: 0.6265,1.2339,18.8325,299,68,24,4,72,0.592,0.0091
G_mean: 0.0000: 0.4158,9.1053,19.15,269,587,8,10,62,0.8257,0.0622
G_mean: 0.7446: 0.458,3.5467,17.3171,17,795,61,3,50,0.1597,0.03
G_mean: 0.9266: 0.0848,6.0794,6.5192,71,826,84,7,42,0.0462,0.0517
G_mean: 0.7446: 0.9331,5.4555,7.4998,260,744,13,3,69,0.3148,0.0756
G_mean: 0.7446: 0.7646,7.1796,19.8052,30,763,60,2,15,0.9971,0.0573
G_mean: 0.7317: 0.272,6.1169,8.9083,64,952,36,10,70,0.7668,0.0513
G_mean: 0.7382: 0.2706,3.0225,10.3653,70,499,69,4,13,0.6037,0.0558
G_mean: 0.0000: 0.7474,1.7431,11.1352,236,1015,58,3,84,0.2388,0.095
G_mean: 0.0000: 0.3608,5.7213,14.3806,246,922,78,7,41,0.0211,0.0527
G_mean: 0.0000: 0.4688,8.5265,12.703,120,201,61,2,3,0.2737,0.0038
G_mean: 0.0000: 0.3464,4.3056,2.2559,180,925,56,8,60,0.0826,0.0931
G_mean: 0.7251: 0.3141,1.4062,8.3853,264,545,27,5,72,0.8022,0.0746
