Round: 3, Step 0
G_mean: 0.0000: 0.7376,6.2567,18.6934,233,37,57,9,15,0.6329,0.0937
G_mean: 0.4123: 0.3518,2.2271,19.7209,291,830,40,8,99,0.4956,0.0939
G_mean: 0.6100: 0.5655,8.2361,13.1724,122,321,13,1,98,0.0935,0.0437
G_mean: 0.6055: 0.1631,7.0985,19.9778,166,629,22,8,58,0.8978,0.0383
G_mean: 0.0000: 0.9728,2.5692,1.2112,243,725,63,6,39,0.8182,0.0647
G_mean: 0.0000: 0.7898,6.8083,19.8651,265,757,92,8,65,0.7002,0.0124
G_mean: 0.0396: 0.7823,6.3184,14.0466,156,422,66,9,72,0.0468,0.0028
G_mean: 0.0000: 0.0036,3.486,8.1721,200,893,76,4,83,0.3901,0.0794
G_mean: 0.0000: 0.5576,8.9693,13.1252,215,777,63,6,28,0.557,0.002
G_mean: 0.0000: 0.8261,9.7458,8.98,230,602,51,7,36,0.4543,0.0719
G_mean: 0.0000: 0.7386,9.713,4.72,299,654,80,7,89,0.0354,0.081
G_mean: 0.9551: 0.2834,5.7741,5.1531,188,814,61,2,83,0.0371,0.0505
G_mean: 0.0000: 0.3056,7.5196,3.9346,261,228,29,8,7,0.8111,0.0495
G_mean: 0.0000: 0.9925,2.7721,8.439,207,907,16,7,8,0.9104,0.0732
G_mean: 0.5217: 0.7608,1.8816,7.6298,65,182,84,7,87,0.7867,0.0818
G_mean: 0.5937: 0.9056,9.4525,8.613,111,377,80,9,24,0.7894,0.0087
G_mean: 0.7850: 0.6617,8.6214,1.5335,202,226,84,2,28,0.5979,0.0563
G_mean: 0.7006: 0.2228,8.8132,2.2042,240,684,10,1,64,0.0443,0.0921
G_mean: 0.0000: 0.3878,8.2045,9.2209,295,40,91,7,6,0.3816,0.0944
G_mean: 0.5597: 0.2718,2.5111,16.7234,27,761,7,2,21,0.4908,0.0778
G_mean: 0.0000: 0.6252,1.9776,18.8848,203,633,48,5,54,0.3852,0.0315
G_mean: 0.9883: 0.6884,9.6494,1.6353,265,821,14,4,48,0.7498,0.0201
G_mean: 0.1019: 0.3675,5.5293,1.9849,171,688,48,8,83,0.1197,0.0511
